Date,j_1 Hydraulic_head,j_10 Hydraulic_head,j_2_Hydraulic_head,j_20 Hydraulic_head,j_21 Hydraulic_head
03/01/2020 15:15,9.650670052,8.615184784,8.869214058,9.546622276,10.02235794
03/01/2020 15:30,9.585103989,8.772547722,7.800225735,9.51576519,10.11879349
03/01/2020 15:45,9.758858681,8.556862831,9.113575935,9.747885704,10.3858366
03/01/2020 16:00,9.76866436,8.448746681,8.934391022,9.732839584,10.33939266
03/01/2020 16:15,9.690918922,8.480124474,7.809192181,9.724956512,10.26327133
03/01/2020 16:30,9.513394356,8.501168251,8.880220413,9.716840744,10.03375816
03/01/2020 16:45,9.23785305,8.517865181,7.801361561,9.708372116,10.13768482
03/01/2020 17:00,9.178766251,8.532059669,8.838055611,9.699576378,10.18335629
03/01/2020 17:15,9.343360901,8.544687271,7.801072121,9.690437317,10.21595383
03/01/2020 17:30,9.075111389,8.556111336,8.837038994,9.680987358,10.24179649
03/01/2020 17:45,9.316822052,8.566462517,7.800343037,9.671310425,10.26427269
03/01/2020 18:00,9.075111389,8.575848579,8.879687309,9.661218643,10.13086891
03/01/2020 18:15,9.292275429,8.576627731,7.797616005,9.619778633,10.05254745
03/01/2020 18:30,9.301133156,8.577363968,8.760897636,9.573440552,10.07198811
03/01/2020 18:45,9.341215134,8.578094482,7.799690247,9.518656731,10.08460617
03/01/2020 19:00,9.070425987,8.578820229,8.752498627,9.440322876,10.0946846
03/01/2020 19:15,9.20730114,8.579540253,7.795691013,9.32276535,10.10336113
03/01/2020 19:30,9.21840477,8.580251694,8.741466522,9.103811264,10.11106682
03/01/2020 19:45,9.255448341,8.580914497,7.791327477,9.090779305,10.11804676
03/01/2020 20:00,9.259347916,8.581529617,7.964840889,9.128695488,10.12442303
03/01/2020 20:15,9.262360573,8.582105637,8.109729767,9.145722389,10.13022614
03/01/2020 20:30,9.281194687,8.582649231,7.791419983,8.890000343,10.13560009
03/01/2020 20:45,9.285367012,8.583166122,7.963119507,9.088493347,10.14064789
03/01/2020 21:00,9.288240433,8.583658218,8.108305931,9.128499031,10.14540768
03/01/2020 21:15,9.300022125,8.584130287,7.791727066,9.145533562,10.14991474
03/01/2020 21:30,9.303476334,8.584583282,8.188685417,8.890000343,10.15415955
03/01/2020 21:45,9.314442635,8.585021019,7.7917099,9.085391045,10.15813732
03/01/2020 22:00,9.317027092,8.585443497,7.958399296,9.128068924,10.16190243
03/01/2020 22:15,9.318946838,8.585852623,8.104456902,9.145126343,10.16552925
03/01/2020 22:30,9.33095932,8.586249352,7.790338516,8.890000343,10.16903877
03/01/2020 22:45,9.070426941,8.58663559,7.957220078,9.082905769,10.17244434
03/01/2020 23:00,9.097668648,8.587011337,8.103482246,9.127845764,10.17575836
03/01/2020 23:15,9.146312714,8.587377548,7.790786743,9.144911766,10.17899036
03/01/2020 23:30,9.15357399,8.58773613,8.182082176,8.890000343,10.18214512
03/01/2020 23:45,9.177947044,8.588085175,7.79078722,9.079867363,10.18523121
04/01/2020 00:00,9.183078766,8.58842659,7.952516556,9.127444267,10.1882515
04/01/2020 00:15,9.186694145,8.58876133,8.099682808,9.144533157,10.19120979
04/01/2020 00:30,9.208359718,8.589089394,7.79143095,8.890000343,10.19409657
04/01/2020 00:45,9.213695526,8.589411736,7.951399326,9.077437401,10.19691372
04/01/2020 01:00,9.217013359,8.589727402,8.098770142,9.127250671,10.19966698
04/01/2020 01:15,9.230173111,8.590037346,7.791383743,9.144346237,10.2023592
04/01/2020 01:30,9.234714508,8.590344429,8.175453186,8.890000343,10.20499706
04/01/2020 01:45,9.251358032,8.590650558,7.791376114,9.074221611,10.20758152
04/01/2020 02:00,9.255759239,8.590954781,7.946557045,9.126818657,10.21011734
04/01/2020 02:15,9.258792877,8.591258049,8.094887733,9.143938065,10.21260357
04/01/2020 02:30,9.277112961,8.591560364,7.7903409,8.890000343,10.21504211
04/01/2020 02:45,9.28194809,8.591861725,7.94542408,9.071718216,10.21743393
04/01/2020 03:00,9.284837723,8.592162132,8.093970299,9.126623154,10.21978378
04/01/2020 03:15,9.296262741,8.592460632,7.791349888,9.143752098,10.22208786
04/01/2020 03:30,9.300415993,8.592758179,8.168798447,8.890000343,10.22434139
04/01/2020 03:45,9.311797142,8.593054771,7.791355133,9.068440437,10.22654915
04/01/2020 04:00,9.314679146,8.59335041,7.940514088,9.126190186,10.22871304
04/01/2020 04:15,9.316604614,8.593645096,8.090070724,9.143342972,10.23083591
04/01/2020 04:30,9.328229904,8.593937874,7.79142189,8.890000343,10.23293018
04/01/2020 04:45,9.070426941,8.594229698,7.939293385,9.065741539,10.2349987
04/01/2020 05:00,9.094641685,8.594521523,8.089084625,9.125966072,10.23704147
04/01/2020 05:15,9.144910812,8.59481144,7.790785313,9.143129349,10.23906136
04/01/2020 05:30,9.153026581,8.595100403,8.162115097,8.890000343,10.2410574
04/01/2020 05:45,9.176955223,8.595388412,7.790786266,9.06251049,10.24303341
04/01/2020 06:00,9.182689667,8.595675468,7.934381962,9.125559807,10.24499035
04/01/2020 06:15,9.23839283,8.597089767,7.793852806,8.890000343,10.25446415
04/01/2020 06:30,9.265994072,8.598485947,8.268129349,9.148805618,10.26358032
04/01/2020 06:45,9.339177132,8.599859238,7.802654266,8.890000343,10.17019272
04/01/2020 07:00,9.072130203,8.601210594,8.261238098,9.148043633,10.08557224
04/01/2020 07:15,9.200586319,8.602541924,7.796658516,8.890000343,10.12492943
04/01/2020 07:30,9.231230736,8.603854179,8.253691673,9.147331238,10.15026093
04/01/2020 07:45,9.291165352,8.605146408,7.798680305,8.890000343,10.16930485
04/01/2020 08:00,9.313519478,8.606422424,8.251103401,9.146593094,10.18546104
04/01/2020 08:15,9.350933075,8.607680321,7.797988415,8.890000343,10.1998682
04/01/2020 08:30,9.072130203,8.608921051,8.245129585,9.145829201,10.21278191
04/01/2020 08:45,9.1991539,8.610147476,7.797765255,8.890000343,10.22450066
04/01/2020 09:00,9.230711937,8.611353874,8.239868164,9.145112038,10.23514271
04/01/2020 09:15,9.326716423,8.614159584,7.80281496,9.193552017,10.25825119
04/01/2020 09:30,9.075111389,8.616868019,8.842540741,9.129200935,10.19441128
04/01/2020 09:45,9.311315536,8.61948204,7.797539234,9.203152657,10.12035561
04/01/2020 10:00,9.075111389,8.622015953,8.805869102,9.248272896,10.17351437
04/01/2020 10:15,9.289769173,8.624488831,7.802546501,9.192718506,10.2083807
04/01/2020 10:30,9.075111389,8.62690258,8.804473877,9.128245354,10.2356205
04/01/2020 10:45,9.268566132,8.629263878,7.79805851,9.20019722,10.2587347
04/01/2020 11:00,9.319052696,8.631575584,8.838327408,9.249379158,10.20067787
04/01/2020 11:15,9.130314827,8.633847237,7.802719116,9.194001198,10.11966991
